id,read1,read2,match,target,time
ce71,ENCFF351QBV,ENCFF953PCY,ENCFF351QBV_ENCFF953PCY,tbx-7-celegans,490
ce72,ENCFF439TQT,ENCFF392GOW,ENCFF439TQT_ENCFF392GOW,tbx-7-celegans,520
ce73,ENCFF217SRC,ENCFF371QZW,ENCFF217SRC_ENCFF371QZW,tbx-7-celegans,520
ce74,ENCFF736XOG,ENCFF183RJK,ENCFF736XOG_ENCFF183RJK,blmp-1-celegans,650
ce75,ENCFF698RNI,ENCFF145ZYO,ENCFF698RNI_ENCFF145ZYO,blmp-1-celegans,650
ce76,ENCFF162TAG,ENCFF394AEC,ENCFF162TAG_ENCFF394AEC,blmp-1-celegans,680
ce77,ENCFF712EJN,ENCFF436QEW,ENCFF712EJN_ENCFF436QEW,blmp-1-celegans,680
ce78,ENCFF097IZJ,ENCFF561QNK,ENCFF097IZJ_ENCFF561QNK,tbx-7-celegans,250
ce79,ENCFF692ING,ENCFF969NBI,ENCFF692ING_ENCFF969NBI,tbx-7-celegans,250
ce80,ENCFF898CGC,ENCFF512XLG,ENCFF898CGC_ENCFF512XLG,tbx-7-celegans,250
ce81,ENCFF519UNX,ENCFF670VVY,ENCFF519UNX_ENCFF670VVY,tbx-7-celegans,280
ce82,ENCFF161SXF,ENCFF291NOA,ENCFF161SXF_ENCFF291NOA,tbx-7-celegans,280
ce83,ENCFF555SQY,ENCFF238UBL,ENCFF555SQY_ENCFF238UBL,ces-1-celegans,650
ce84,ENCFF467OON,ENCFF839NMC,ENCFF467OON_ENCFF839NMC,ces-1-celegans,650
ce85,ENCFF834OSD,ENCFF263TEO,ENCFF834OSD_ENCFF263TEO,ces-1-celegans,650
ce86,ENCFF306RVQ,ENCFF051JOX,ENCFF306RVQ_ENCFF051JOX,ces-1-celegans,650
ce87,ENCFF604TCC,ENCFF688FFA,ENCFF604TCC_ENCFF688FFA,blmp-1-celegans,490
ce88,ENCFF085VED,ENCFF609AWE,ENCFF085VED_ENCFF609AWE,blmp-1-celegans,490
ce89,ENCFF171MAP,ENCFF997ILY,ENCFF171MAP_ENCFF997ILY,elt-4-celegans,80
ce90,ENCFF734RMT,ENCFF831SKF,ENCFF734RMT_ENCFF831SKF,elt-4-celegans,80
ce91,ENCFF668LYL,ENCFF519KOY,ENCFF668LYL_ENCFF519KOY,fax-1-celegans,80
ce92,ENCFF710YDW,ENCFF699XXQ,ENCFF710YDW_ENCFF699XXQ,fax-1-celegans,80
ce93,ENCFF339KEC,ENCFF206COF,ENCFF339KEC_ENCFF206COF,ces-1-celegans,80
ce94,ENCFF867EIF,ENCFF800WZQ,ENCFF867EIF_ENCFF800WZQ,ces-1-celegans,80
ce95,ENCFF989WAD,ENCFF839WIZ,ENCFF989WAD_ENCFF839WIZ,ces-1-celegans,680
ce96,ENCFF838YUK,ENCFF088UGS,ENCFF838YUK_ENCFF088UGS,ces-1-celegans,680
ce97,ENCFF758HHL,ENCFF660RAY,ENCFF758HHL_ENCFF660RAY,ceh-31-celegans,520
ce98,ENCFF216UMZ,ENCFF533KPV,ENCFF216UMZ_ENCFF533KPV,ceh-31-celegans,520
ce99,ENCFF787LYA,ENCFF091TNG,ENCFF787LYA_ENCFF091TNG,ceh-31-celegans,680
ce100,ENCFF353MXP,ENCFF050PSX,ENCFF353MXP_ENCFF050PSX,ceh-31-celegans,680
ce101,ENCFF452LHB,ENCFF449NAI,ENCFF452LHB_ENCFF449NAI,dve-1-celegans,80
ce102,ENCFF007MLM,ENCFF872KHT,ENCFF007MLM_ENCFF872KHT,dve-1-celegans,80
ce103,ENCFF555MZI,ENCFF406PTN,ENCFF555MZI_ENCFF406PTN,dve-1-celegans,650
ce104,ENCFF618EAU,ENCFF824TSO,ENCFF618EAU_ENCFF824TSO,dve-1-celegans,650
ce105,ENCFF089EZR,ENCFF101EEJ,ENCFF089EZR_ENCFF101EEJ,fkh-10-celegans,850
ce106,ENCFF328CUO,ENCFF495KBG,ENCFF328CUO_ENCFF495KBG,fkh-10-celegans,850
ce107,ENCFF315NMQ,ENCFF383LIV,ENCFF315NMQ_ENCFF383LIV,mab-5-celegans,680
ce108,ENCFF250BOP,ENCFF827UZP,ENCFF250BOP_ENCFF827UZP,mab-5-celegans,680
ce109,ENCFF442WGX,ENCFF655AJW,ENCFF442WGX_ENCFF655AJW,mab-5-celegans,680
ce110,ENCFF214RKR,ENCFF626NSO,ENCFF214RKR_ENCFF626NSO,rnt-1-celegans,520
ce111,ENCFF072AZN,ENCFF660EIT,ENCFF072AZN_ENCFF660EIT,rnt-1-celegans,520
ce112,ENCFF734NHX,ENCFF969NXD,ENCFF734NHX_ENCFF969NXD,rnt-1-celegans,520
ce113,ENCFF158ZRO,ENCFF705QST,ENCFF158ZRO_ENCFF705QST,mec-3-celegans,80
ce114,ENCFF804DUA,ENCFF201KAF,ENCFF804DUA_ENCFF201KAF,mec-3-celegans,80
ce115,ENCFF130YXI,ENCFF141JAM,ENCFF130YXI_ENCFF141JAM,ceh-18-celegans,680
ce116,ENCFF774NIK,ENCFF026GXX,ENCFF774NIK_ENCFF026GXX,ceh-18-celegans,680
ce117,ENCFF764SNZ,ENCFF549ROA,ENCFF764SNZ_ENCFF549ROA,ceh-18-celegans,680
ce118,ENCFF553SQB,ENCFF981IHC,ENCFF553SQB_ENCFF981IHC,ceh-18-celegans,680
ce119,ENCFF352FDU,ENCFF709WBS,ENCFF352FDU_ENCFF709WBS,ceh-31-celegans,50
ce120,ENCFF869ZHT,ENCFF908VQA,ENCFF869ZHT_ENCFF908VQA,ceh-31-celegans,50
ce121,ENCFF223DBX,ENCFF018HTA,ENCFF223DBX_ENCFF018HTA,ceh-31-celegans,80
ce122,ENCFF745CCQ,ENCFF386SNY,ENCFF745CCQ_ENCFF386SNY,ceh-31-celegans,80
ce123,ENCFF549LML,ENCFF321MEY,ENCFF549LML_ENCFF321MEY,ceh-14-celegans,650
ce124,ENCFF149OVY,ENCFF945OVZ,ENCFF149OVY_ENCFF945OVZ,ceh-14-celegans,650
ce125,ENCFF925YGQ,ENCFF096JIW,ENCFF925YGQ_ENCFF096JIW,mec-3-celegans,850
ce126,ENCFF724FRI,ENCFF217QIH,ENCFF724FRI_ENCFF217QIH,mec-3-celegans,850
ce127,ENCFF167AOM,ENCFF143FCF,ENCFF167AOM_ENCFF143FCF,mec-3-celegans,850
ce128,ENCFF204LZM,ENCFF871IQO,ENCFF204LZM_ENCFF871IQO,rnt-1-celegans,50
ce129,ENCFF193NSN,ENCFF821VXB,ENCFF193NSN_ENCFF821VXB,rnt-1-celegans,50
ce130,ENCFF517SYI,ENCFF033KPR,ENCFF517SYI_ENCFF033KPR,rnt-1-celegans,50
ce131,ENCFF420GGZ,ENCFF618VTO,ENCFF420GGZ_ENCFF618VTO,rnt-1-celegans,50
ce132,ENCFF624DYY,ENCFF990QIT,ENCFF624DYY_ENCFF990QIT,rnt-1-celegans,50
ce133,ENCFF438XAZ,ENCFF160EHQ,ENCFF438XAZ_ENCFF160EHQ,rnt-1-celegans,50
ce134,ENCFF731GZL,ENCFF493QVB,ENCFF731GZL_ENCFF493QVB,rnt-1-celegans,50
ce135,ENCFF327QDV,ENCFF358TNW,ENCFF327QDV_ENCFF358TNW,rnt-1-celegans,50
ce136,ENCFF798LRL,ENCFF049AZW,ENCFF798LRL_ENCFF049AZW,mec-3-celegans,680
ce137,ENCFF388JGM,ENCFF986GED,ENCFF388JGM_ENCFF986GED,mec-3-celegans,680
ce138,ENCFF166WKM,ENCFF600PAJ,ENCFF166WKM_ENCFF600PAJ,mec-3-celegans,680
ce139,ENCFF094QAD,ENCFF853EDN,ENCFF094QAD_ENCFF853EDN,fkh-10-celegans,650
ce140,ENCFF292LES,ENCFF599XFL,ENCFF292LES_ENCFF599XFL,fkh-10-celegans,650
ce141,ENCFF923JZT,ENCFF781CRK,ENCFF923JZT_ENCFF781CRK,fkh-10-celegans,880
ce142,ENCFF637FED,ENCFF502NDX,ENCFF637FED_ENCFF502NDX,fkh-10-celegans,880
ce143,ENCFF785RVX,ENCFF724MAK,ENCFF785RVX_ENCFF724MAK,fkh-10-celegans,50
ce144,ENCFF442AQC,ENCFF364SYA,ENCFF442AQC_ENCFF364SYA,fkh-10-celegans,50
ce145,ENCFF300FDO,ENCFF299OHB,ENCFF300FDO_ENCFF299OHB,fkh-10-celegans,680
ce146,ENCFF205UYI,ENCFF908NYF,ENCFF205UYI_ENCFF908NYF,fkh-10-celegans,680
ce147,ENCFF906ZNM,ENCFF100FYF,ENCFF906ZNM_ENCFF100FYF,fkh-10-celegans,80
ce148,ENCFF353OMP,ENCFF308HFS,ENCFF353OMP_ENCFF308HFS,fkh-10-celegans,80
ce149,ENCFF516JXT,ENCFF409MMU,ENCFF516JXT_ENCFF409MMU,fkh-10-celegans,80
